Date,Price,Open,High,Low,Volume,Change%
2025-12-12,1.3773,1.3773,1.3796,1.3752,NULL,0.01%
2025-12-11,1.3771,1.3792,1.3825,1.3756,NULL,-0.17%
2025-12-10,1.3794,1.3849,1.3873,1.3783,NULL,-0.39%
2025-12-09,1.3848,1.3857,1.3862,1.3823,NULL,-0.07%
2025-12-08,1.3858,1.3828,1.3861,1.3799,NULL,0.30%
2025-12-05,1.3816,1.3958,1.3962,1.3815,NULL,-1.02%
2025-12-04,1.3958,1.3950,1.3979,1.3925,NULL,0.06%
2025-12-03,1.3950,1.3973,1.3977,1.3937,NULL,-0.14%
2025-12-02,1.3970,1.3999,1.4015,1.3966,NULL,-0.20%
2025-12-01,1.3998,1.3975,1.4003,1.3954,NULL,0.17%
2025-11-28,1.3974,1.4031,1.4053,1.3937,NULL,-0.40%
2025-11-27,1.4030,1.4044,1.4051,1.4028,NULL,-0.10%
2025-11-26,1.4044,1.4097,1.4106,1.4034,NULL,-0.38%
2025-11-25,1.4097,1.4111,1.4126,1.4089,NULL,-0.08%
2025-11-24,1.4108,1.4104,1.4120,1.4091,NULL,0.05%
2025-11-21,1.4101,1.4097,1.4132,1.4080,NULL,0.03%
2025-11-20,1.4097,1.4050,1.4109,1.4039,NULL,0.33%
2025-11-19,1.4051,1.3989,1.4067,1.3983,NULL,0.44%
2025-11-18,1.3990,1.4055,1.4064,1.3971,NULL,-0.46%
2025-11-17,1.4055,1.4027,1.4059,1.4013,NULL,0.22%
2025-11-14,1.4024,1.4036,1.4047,1.4013,NULL,-0.09%
2025-11-13,1.4036,1.4006,1.4039,1.3985,NULL,0.21%
2025-11-12,1.4006,1.4013,1.4024,1.3989,NULL,-0.08%
2025-11-11,1.4017,1.4026,1.4043,1.4001,NULL,-0.02%
2025-11-10,1.4020,1.4044,1.4059,1.4000,NULL,-0.21%
2025-11-07,1.4049,1.4116,1.4128,1.4027,NULL,-0.49%
2025-11-06,1.4118,1.4107,1.4141,1.4090,NULL,0.06%
2025-11-05,1.4109,1.4105,1.4141,1.4098,NULL,0.04%
2025-11-04,1.4104,1.4056,1.4110,1.4053,NULL,0.34%
2025-11-03,1.4056,1.4004,1.4076,1.4004,NULL,0.32%
2025-10-31,1.4011,1.3987,1.4036,1.3978,NULL,0.18%
2025-10-30,1.3986,1.3943,1.4015,1.3926,NULL,0.31%
2025-10-29,1.3943,1.3947,1.3956,1.3887,NULL,-0.03%
2025-10-28,1.3947,1.3990,1.4007,1.3933,NULL,-0.31%
2025-10-27,1.3990,1.3999,1.4017,1.3969,NULL,-0.04%
2025-10-24,1.3996,1.3991,1.4040,1.3973,NULL,0.03%
2025-10-23,1.3992,1.3994,1.4006,1.3979,NULL,-0.01%
2025-10-22,1.3994,1.4022,1.4034,1.3975,NULL,-0.21%
2025-10-21,1.4023,1.4036,1.4067,1.4003,NULL,-0.11%
2025-10-20,1.4038,1.4023,1.4053,1.4005,NULL,0.12%
2025-10-17,1.4021,1.4051,1.4069,1.4008,NULL,-0.24%
2025-10-16,1.4055,1.4043,1.4062,1.4022,NULL,0.08%
2025-10-15,1.4044,1.4046,1.4061,1.4026,NULL,-0.01%
2025-10-14,1.4046,1.4037,1.4081,1.4027,NULL,0.07%
2025-10-13,1.4036,1.4001,1.4040,1.3981,NULL,0.20%
2025-10-10,1.4008,1.4021,1.4036,1.3975,NULL,-0.09%
2025-10-09,1.4021,1.3952,1.4034,1.3933,NULL,0.49%
2025-10-08,1.3952,1.3949,1.3973,1.3931,NULL,0.01%
2025-10-07,1.3950,1.3943,1.3964,1.3938,NULL,0.05%
2025-10-06,1.3943,1.3959,1.3969,1.3939,NULL,-0.06%
2025-10-03,1.3952,1.3969,1.3971,1.3939,NULL,-0.12%
2025-10-02,1.3969,1.3935,1.3988,1.3931,NULL,0.24%
2025-10-01,1.3935,1.3921,1.3958,1.3906,NULL,0.11%
2025-09-30,1.3920,1.3914,1.3937,1.3895,NULL,0.04%
2025-09-29,1.3914,1.3944,1.3948,1.3902,NULL,-0.21%
2025-09-26,1.3943,1.3939,1.3960,1.3926,NULL,0.01%
2025-09-25,1.3941,1.3896,1.3951,1.3884,NULL,0.32%
2025-09-24,1.3897,1.3835,1.3908,1.3832,NULL,0.45%
2025-09-23,1.3835,1.3818,1.3851,1.3811,NULL,0.12%
2025-09-22,1.3819,1.3785,1.3832,1.3775,NULL,0.28%
2025-09-19,1.3781,1.3796,1.3827,1.3768,NULL,-0.11%
2025-09-18,1.3796,1.3774,1.3811,1.3765,NULL,0.17%
2025-09-17,1.3773,1.3740,1.3789,1.3725,NULL,0.25%
2025-09-16,1.3739,1.3776,1.3785,1.3733,NULL,-0.28%
2025-09-15,1.3778,1.3849,1.3849,1.3766,NULL,-0.46%
2025-09-12,1.3842,1.3832,1.3865,1.3830,NULL,0.07%
2025-09-11,1.3832,1.3865,1.3891,1.3825,NULL,-0.22%
2025-09-10,1.3863,1.3843,1.3871,1.3830,NULL,0.14%
2025-09-09,1.3843,1.3805,1.3861,1.3792,NULL,0.28%
2025-09-08,1.3804,1.3826,1.3846,1.3788,NULL,-0.19%
2025-09-05,1.3830,1.3818,1.3856,1.3759,NULL,0.08%
2025-09-04,1.3819,1.3794,1.3847,1.3791,NULL,0.18%
2025-09-03,1.3794,1.3781,1.3809,1.3777,NULL,0.08%
2025-09-02,1.3783,1.3750,1.3817,1.3745,NULL,0.23%
2025-09-01,1.3751,1.3737,1.3764,1.3731,NULL,0.04%
2025-08-29,1.3745,1.3750,1.3781,1.3726,NULL,-0.02%
2025-08-28,1.3748,1.3790,1.3792,1.3740,NULL,-0.30%
2025-08-27,1.3790,1.3838,1.3859,1.3782,NULL,-0.35%
2025-08-26,1.3838,1.3860,1.3870,1.3822,NULL,-0.16%
2025-08-25,1.3860,1.3824,1.3865,1.3816,NULL,0.24%
2025-08-22,1.3827,1.3910,1.3926,1.3813,NULL,-0.60%
2025-08-21,1.3911,1.3874,1.3914,1.3869,NULL,0.27%
2025-08-20,1.3874,1.3869,1.3885,1.3853,NULL,0.04%
2025-08-19,1.3868,1.3804,1.3871,1.3795,NULL,0.47%
2025-08-18,1.3803,1.3815,1.3832,1.3782,NULL,-0.12%
2025-08-15,1.3819,1.3816,1.3821,1.3787,NULL,0.01%
2025-08-14,1.3817,1.3759,1.3821,1.3744,NULL,0.41%
2025-08-13,1.3760,1.3771,1.3783,1.3750,NULL,-0.09%
2025-08-12,1.3773,1.3780,1.3808,1.3753,NULL,-0.04%
2025-08-11,1.3779,1.3759,1.3796,1.3744,NULL,0.15%
2025-08-08,1.3758,1.3747,1.3765,1.3725,NULL,0.09%
2025-08-07,1.3745,1.3741,1.3775,1.3721,NULL,0.02%
2025-08-06,1.3742,1.3773,1.3781,1.3735,NULL,-0.23%
2025-08-05,1.3773,1.3778,1.3811,1.3763,NULL,-0.04%
2025-08-04,1.3779,1.3790,1.3796,1.3758,NULL,-0.07%
2025-08-01,1.3788,1.3855,1.3881,1.3763,NULL,-0.48%
2025-07-31,1.3855,1.3828,1.3860,1.3813,NULL,0.19%
2025-07-30,1.3829,1.3770,1.3846,1.3758,NULL,0.42%
2025-07-29,1.3771,1.3738,1.3790,1.3731,NULL,0.23%
2025-07-28,1.3739,1.3695,1.3744,1.3689,NULL,0.27%
2025-07-25,1.3702,1.3642,1.3726,1.3636,NULL,0.46%
2025-07-24,1.3639,1.3594,1.3657,1.3590,NULL,0.32%
2025-07-23,1.3595,1.3604,1.3630,1.3575,NULL,-0.08%
2025-07-22,1.3606,1.3688,1.3697,1.3602,NULL,-0.56%
2025-07-21,1.3683,1.3718,1.3736,1.3676,NULL,-0.30%
2025-07-18,1.3724,1.3752,1.3756,1.3694,NULL,-0.20%
2025-07-17,1.3752,1.3684,1.3776,1.3683,NULL,0.50%
2025-07-16,1.3683,1.3725,1.3756,1.3679,NULL,-0.30%
2025-07-15,1.3724,1.3697,1.3731,1.3670,NULL,0.13%
2025-07-14,1.3706,1.3696,1.3719,1.3669,NULL,0.11%
2025-07-11,1.3691,1.3657,1.3732,1.3651,NULL,0.26%
2025-07-10,1.3655,1.3685,1.3710,1.3653,NULL,-0.23%
2025-07-09,1.3686,1.3666,1.3711,1.3660,NULL,0.18%
2025-07-08,1.3661,1.3681,1.3695,1.3637,NULL,-0.16%
2025-07-07,1.3683,1.3605,1.3687,1.3594,NULL,0.58%
2025-07-04,1.3604,1.3579,1.3619,1.3566,NULL,0.15%
2025-07-03,1.3583,1.3588,1.3625,1.3556,NULL,-0.04%
2025-07-02,1.3588,1.3646,1.3660,1.3583,NULL,-0.43%
2025-07-01,1.3646,1.3611,1.3668,1.3590,NULL,0.27%
2025-06-30,1.3609,1.3686,1.3705,1.3599,NULL,-0.53%
2025-06-27,1.3682,1.3644,1.3760,1.3627,NULL,0.29%
2025-06-26,1.3642,1.3724,1.3732,1.3617,NULL,-0.61%
2025-06-25,1.3726,1.3726,1.3756,1.3712,NULL,0.00%
2025-06-24,1.3726,1.3734,1.3740,1.3678,NULL,-0.05%
2025-06-23,1.3733,1.3738,1.3800,1.3724,NULL,-0.01%
2025-06-20,1.3734,1.3708,1.3748,1.3687,NULL,0.24%
2025-06-19,1.3701,1.3695,1.3748,1.3685,NULL,0.03%
2025-06-18,1.3697,1.3678,1.3704,1.3634,NULL,0.12%
2025-06-17,1.3681,1.3571,1.3695,1.3556,NULL,0.81%
2025-06-16,1.3571,1.3596,1.3609,1.3539,NULL,-0.10%
2025-06-13,1.3585,1.3607,1.3653,1.3566,NULL,-0.13%
2025-06-12,1.3603,1.3671,1.3676,1.3599,NULL,-0.50%
2025-06-11,1.3672,1.3670,1.3691,1.3649,NULL,0.01%
2025-06-10,1.3670,1.3700,1.3730,1.3668,NULL,-0.22%
2025-06-09,1.3700,1.3698,1.3708,1.3668,NULL,0.05%
2025-06-06,1.3693,1.3677,1.3706,1.3660,NULL,0.12%
2025-06-05,1.3676,1.3676,1.3685,1.3634,NULL,-0.02%
2025-06-04,1.3679,1.3721,1.3733,1.3651,NULL,-0.31%
2025-06-03,1.3721,1.3714,1.3744,1.3700,NULL,0.05%
2025-06-02,1.3714,1.3739,1.3748,1.3674,NULL,-0.20%
2025-05-30,1.3741,1.3809,1.3831,1.3714,NULL,-0.49%
2025-05-29,1.3809,1.3836,1.3863,1.3784,NULL,-0.20%
2025-05-28,1.3836,1.3809,1.3846,1.3801,NULL,0.20%
2025-05-27,1.3809,1.3737,1.3837,1.3722,NULL,0.52%
2025-05-26,1.3737,1.3704,1.3754,1.3686,NULL,-0.02%
2025-05-23,1.3740,1.3857,1.3865,1.3708,NULL,-0.84%
2025-05-22,1.3857,1.3861,1.3890,1.3845,NULL,-0.02%
2025-05-21,1.3860,1.3918,1.3922,1.3813,NULL,-0.40%
2025-05-20,1.3916,1.3952,1.3970,1.3908,NULL,-0.26%
2025-05-19,1.3952,1.3970,1.3979,1.3916,NULL,-0.10%
2025-05-16,1.3966,1.3960,1.3996,1.3934,NULL,0.05%
2025-05-15,1.3959,1.3983,1.4006,1.3955,NULL,-0.17%
2025-05-14,1.3983,1.3935,1.3988,1.3901,NULL,0.34%
2025-05-13,1.3935,1.3975,1.4017,1.3931,NULL,-0.29%
2025-05-12,1.3975,1.3931,1.4017,1.3891,NULL,0.27%
2025-05-09,1.3937,1.3926,1.3946,1.3906,NULL,0.09%
2025-05-08,1.3925,1.3839,1.3934,1.3813,NULL,0.62%
2025-05-07,1.3839,1.3779,1.3841,1.3763,NULL,0.44%
2025-05-06,1.3778,1.3822,1.3847,1.3750,NULL,-0.35%
2025-05-05,1.3826,1.3786,1.3840,1.3777,NULL,0.04%
2025-05-02,1.3821,1.3854,1.3859,1.3759,NULL,-0.25%
2025-05-01,1.3855,1.3797,1.3864,1.3784,NULL,0.41%
2025-04-30,1.3799,1.3834,1.3857,1.3769,NULL,-0.25%
2025-04-29,1.3834,1.3830,1.3872,1.3808,NULL,0.03%
2025-04-28,1.3830,1.3862,1.3893,1.3816,NULL,-0.19%
2025-04-25,1.3857,1.3851,1.3893,1.3845,NULL,0.04%
2025-04-24,1.3851,1.3885,1.3901,1.3839,NULL,-0.23%
2025-04-23,1.3883,1.3817,1.3906,1.3797,NULL,0.48%
2025-04-22,1.3817,1.3842,1.3863,1.3792,NULL,-0.17%
2025-04-21,1.3841,1.3843,1.3852,1.3780,NULL,-0.05%
2025-04-18,1.3848,1.3847,1.3872,1.3833,NULL,0.12%
2025-04-17,1.3832,1.3862,1.3908,1.3828,NULL,-0.17%
2025-04-16,1.3855,1.3954,1.3967,1.3855,NULL,-0.70%
2025-04-15,1.3953,1.3870,1.3980,1.3849,NULL,0.58%
2025-04-14,1.3873,1.3871,1.3912,1.3828,NULL,0.06%
2025-04-11,1.3864,1.3983,1.3992,1.3838,NULL,-0.83%
2025-04-10,1.3980,1.4085,1.4112,1.3951,NULL,-0.74%
2025-04-09,1.4084,1.4263,1.4275,1.4074,NULL,-1.25%
2025-04-08,1.4262,1.4249,1.4273,1.4143,NULL,0.11%
2025-04-07,1.4247,1.4250,1.4298,1.4178,NULL,0.20%
2025-04-04,1.4218,1.4092,1.4261,1.4053,NULL,0.87%
2025-04-03,1.4095,1.4236,1.4320,1.4027,NULL,-0.95%
2025-04-02,1.4230,1.4303,1.4368,1.4228,NULL,-0.50%
2025-04-01,1.4301,1.4386,1.4417,1.4298,NULL,-0.60%
2025-03-31,1.4387,1.4311,1.4397,1.4299,NULL,0.49%
2025-03-28,1.4317,1.4306,1.4335,1.4276,NULL,0.09%
2025-03-27,1.4304,1.4267,1.4330,1.4259,NULL,0.28%
2025-03-26,1.4264,1.4280,1.4300,1.4234,NULL,-0.09%
2025-03-25,1.4277,1.4320,1.4333,1.4271,NULL,-0.29%
2025-03-24,1.4318,1.4350,1.4358,1.4289,NULL,-0.22%
2025-03-21,1.4349,1.4326,1.4375,1.4313,NULL,0.18%
2025-03-20,1.4323,1.4326,1.4402,1.4312,NULL,-0.01%
2025-03-19,1.4324,1.4301,1.4351,1.4295,NULL,0.17%
2025-03-18,1.4299,1.4290,1.4322,1.4269,NULL,0.08%
2025-03-17,1.4288,1.4383,1.4384,1.4274,NULL,-0.56%
2025-03-14,1.4369,1.4438,1.4449,1.4355,NULL,-0.48%
2025-03-13,1.4439,1.4371,1.4453,1.4358,NULL,0.49%
2025-03-12,1.4368,1.4436,1.4486,1.4353,NULL,-0.44%
2025-03-11,1.4432,1.4439,1.4522,1.4379,NULL,-0.02%
2025-03-10,1.4435,1.4379,1.4473,1.4353,NULL,0.40%
2025-03-07,1.4377,1.4297,1.4428,1.4279,NULL,0.57%
2025-03-06,1.4295,1.4341,1.4377,1.4242,NULL,-0.29%
2025-03-05,1.4337,1.4397,1.4451,1.4330,NULL,-0.35%
2025-03-04,1.4388,1.4484,1.4543,1.4371,NULL,-0.62%
2025-03-03,1.4478,1.4467,1.4543,1.4369,NULL,0.09%
2025-02-28,1.4465,1.4442,1.4473,1.4399,NULL,0.19%
2025-02-27,1.4438,1.4336,1.4451,1.4321,NULL,0.70%
2025-02-26,1.4337,1.4314,1.4370,1.4293,NULL,0.17%
2025-02-25,1.4312,1.4261,1.4319,1.4239,NULL,0.37%
2025-02-24,1.4259,1.4219,1.4269,1.4181,NULL,0.27%
2025-02-21,1.4220,1.4177,1.4238,1.4168,NULL,0.32%
2025-02-20,1.4174,1.4237,1.4246,1.4166,NULL,-0.42%
2025-02-19,1.4234,1.4200,1.4247,1.4175,NULL,0.26%
2025-02-18,1.4197,1.4183,1.4214,1.4179,NULL,0.12%
2025-02-17,1.4180,1.4181,1.4196,1.4159,NULL,-0.01%
2025-02-14,1.4181,1.4194,1.4203,1.4151,NULL,-0.07%
2025-02-13,1.4191,1.4304,1.4308,1.4183,NULL,-0.80%
2025-02-12,1.4305,1.4287,1.4344,1.4255,NULL,0.15%
2025-02-11,1.4283,1.4317,1.4347,1.4278,NULL,-0.22%
2025-02-10,1.4315,1.4297,1.4381,1.4289,NULL,0.15%
2025-02-07,1.4294,1.4310,1.4347,1.4272,NULL,-0.10%
2025-02-06,1.4308,1.4314,1.4368,1.4301,NULL,0.01%
2025-02-05,1.4307,1.4322,1.4346,1.4269,NULL,-0.10%
2025-02-04,1.4321,1.4428,1.4504,1.4301,NULL,-0.74%
2025-02-03,1.4428,1.4689,1.4794,1.4389,NULL,-0.66%
2025-01-31,1.4524,1.4491,1.4560,1.4372,NULL,0.25%
2025-01-30,1.4488,1.4421,1.4595,1.4392,NULL,0.49%
2025-01-29,1.4417,1.4400,1.4473,1.4391,NULL,0.13%
2025-01-28,1.4398,1.4373,1.4421,1.4368,NULL,0.19%
2025-01-27,1.4370,1.4345,1.4402,1.4333,NULL,0.20%
2025-01-24,1.4342,1.4383,1.4385,1.4314,NULL,-0.29%
2025-01-23,1.4383,1.4373,1.4415,1.4333,NULL,0.06%
2025-01-22,1.4375,1.4323,1.4393,1.4301,NULL,0.39%
2025-01-21,1.4319,1.4304,1.4516,1.4289,NULL,0.09%
2025-01-20,1.4306,1.4461,1.4487,1.4261,NULL,-1.20%
2025-01-17,1.4480,1.4394,1.4485,1.4381,NULL,0.60%
2025-01-16,1.4393,1.4344,1.4404,1.4322,NULL,0.37%
2025-01-15,1.4340,1.4349,1.4368,1.4301,NULL,-0.06%
2025-01-14,1.4348,1.4373,1.4412,1.4343,NULL,-0.21%
2025-01-13,1.4378,1.4428,1.4449,1.4375,NULL,-0.31%
2025-01-10,1.4422,1.4394,1.4445,1.4374,NULL,0.19%
2025-01-09,1.4394,1.4375,1.4406,1.4365,NULL,0.15%
2025-01-08,1.4372,1.4366,1.4411,1.4339,NULL,0.03%
2025-01-07,1.4367,1.4335,1.4373,1.4297,NULL,0.27%
2025-01-06,1.4329,1.4447,1.4454,1.4279,NULL,-0.82%
2025-01-03,1.4447,1.4400,1.4465,1.4383,NULL,0.33%
2025-01-02,1.4400,1.4386,1.4444,1.4368,NULL,0.10%
2025-01-01,1.4385,1.4383,1.4389,1.4379,NULL,0.03%
2024-12-31,1.4380,1.4360,1.4411,1.4337,NULL,0.19%
2024-12-30,1.4353,1.4415,1.4434,1.4344,NULL,-0.37%
2024-12-27,1.4407,1.4408,1.4451,1.4375,NULL,0.00%
2024-12-26,1.4407,1.4365,1.4421,1.4349,NULL,0.30%
2024-12-25,1.4364,1.4356,1.4375,1.4354,NULL,0.03%
2024-12-24,1.4360,1.4371,1.4421,1.4347,NULL,-0.06%
2024-12-23,1.4368,1.4360,1.4434,1.4349,NULL,0.00%
2024-12-20,1.4368,1.4398,1.4436,1.4335,NULL,-0.20%
2024-12-19,1.4397,1.4448,1.4469,1.4344,NULL,-0.35%
2024-12-18,1.4447,1.4310,1.4450,1.4304,NULL,0.96%
2024-12-17,1.4310,1.4242,1.4326,1.4232,NULL,0.48%
2024-12-16,1.4242,1.4232,1.4270,1.4217,NULL,0.09%
2024-12-13,1.4229,1.4221,1.4246,1.4209,NULL,0.06%
2024-12-12,1.4220,1.4158,1.4229,1.4131,NULL,0.45%
2024-12-11,1.4157,1.4177,1.4195,1.4120,NULL,-0.15%
2024-12-10,1.4178,1.4170,1.4196,1.4154,NULL,0.05%
2024-12-09,1.4171,1.4158,1.4177,1.4093,NULL,0.11%
2024-12-06,1.4155,1.4029,1.4166,1.4018,NULL,0.95%
2024-12-05,1.4022,1.4074,1.4080,1.4010,NULL,-0.36%
2024-12-04,1.4073,1.4068,1.4084,1.4051,NULL,0.04%
2024-12-03,1.4068,1.4050,1.4077,1.4009,NULL,0.17%
2024-12-02,1.4044,1.4007,1.4091,1.3986,NULL,0.30%
2024-11-29,1.4002,1.4017,1.4047,1.3979,NULL,-0.06%
2024-11-28,1.4011,1.4030,1.4033,1.3998,NULL,-0.12%
2024-11-27,1.4028,1.4053,1.4079,1.4009,NULL,-0.17%
2024-11-26,1.4052,1.3987,1.4179,1.3981,NULL,0.47%
2024-11-25,1.3986,1.3974,1.4009,1.3927,NULL,0.04%
2024-11-22,1.3980,1.3971,1.4022,1.3957,NULL,0.07%
2024-11-21,1.3970,1.3976,1.3979,1.3930,NULL,-0.01%
2024-11-20,1.3972,1.3958,1.4015,1.3950,NULL,0.14%
2024-11-19,1.3953,1.4014,1.4038,1.3954,NULL,-0.44%
2024-11-18,1.4014,1.4091,1.4104,1.4003,NULL,-0.53%
2024-11-15,1.4088,1.4055,1.4107,1.4032,NULL,0.22%
2024-11-14,1.4057,1.3997,1.4065,1.3987,NULL,0.44%
2024-11-13,1.3996,1.3945,1.4004,1.3931,NULL,0.37%
2024-11-12,1.3944,1.3925,1.3969,1.3916,NULL,0.14%
2024-11-11,1.3924,1.3909,1.3952,1.3894,NULL,0.12%
2024-11-08,1.3908,1.3862,1.3930,1.3857,NULL,0.34%
2024-11-07,1.3861,1.3939,1.3950,1.3841,NULL,-0.55%
2024-11-06,1.3938,1.3825,1.3960,1.3822,NULL,0.83%
2024-11-05,1.3823,1.3902,1.3908,1.3823,NULL,-0.56%
2024-11-04,1.3901,1.3944,1.3945,1.3874,NULL,-0.35%
2024-11-01,1.3950,1.3931,1.3960,1.3903,NULL,0.12%
2024-10-31,1.3933,1.3905,1.3947,1.3891,NULL,0.22%
2024-10-30,1.3903,1.3915,1.3942,1.3894,NULL,-0.08%
2024-10-29,1.3914,1.3893,1.3931,1.3876,NULL,0.18%
2024-10-28,1.3889,1.3891,1.3910,1.3881,NULL,-0.01%
2024-10-25,1.3891,1.3855,1.3899,1.3837,NULL,0.27%
2024-10-24,1.3854,1.3839,1.3870,1.3811,NULL,0.13%
2024-10-23,1.3836,1.3819,1.3864,1.3815,NULL,0.14%
2024-10-22,1.3816,1.3832,1.3840,1.3813,NULL,-0.11%
2024-10-21,1.3831,1.3802,1.3851,1.3798,NULL,0.22%
2024-10-18,1.3800,1.3797,1.3817,1.3784,NULL,0.04%
2024-10-17,1.3794,1.3754,1.3803,1.3746,NULL,0.32%
2024-10-16,1.3750,1.3775,1.3794,1.3749,NULL,-0.17%
2024-10-15,1.3774,1.3796,1.3840,1.3769,NULL,-0.15%
2024-10-14,1.3795,1.3760,1.3807,1.3756,NULL,0.24%
2024-10-11,1.3762,1.3740,1.3785,1.3725,NULL,0.17%
2024-10-10,1.3739,1.3712,1.3777,1.3698,NULL,0.21%
2024-10-09,1.3710,1.3647,1.3720,1.3642,NULL,0.46%
